
name,category,pharmaceutical_form,specialty,description,clinical_indication,active_name,concentration_mg,concentration_text,role_in_formula
"Fórmula Emagrecimento Avançada","emagrecimento","cápsula","endocrinologia","Fórmula para auxiliar no processo de emagrecimento","Obesidade e sobrepeso","Sibutramina",15,"15mg","Supressor de apetite"
"Fórmula Emagrecimento Avançada","emagrecimento","cápsula","endocrinologia","Fórmula para auxiliar no processo de emagrecimento","Obesidade e sobrepeso","Orlistat",120,"120mg","Inibidor de lipase"
"Complexo Antienvelhecimento","antienvelhecimento","cápsula","dermatologia","Antioxidante para prevenção do envelhecimento","Anti-aging e proteção celular","Resveratrol",100,"100mg","Antioxidante principal"
"Complexo Antienvelhecimento","antienvelhecimento","cápsula","dermatologia","Antioxidante para prevenção do envelhecimento","Anti-aging e proteção celular","Coenzima Q10",50,"50mg","Energético celular"
"Complexo Antienvelhecimento","antienvelhecimento","cápsula","dermatologia","Antioxidante para prevenção do envelhecimento","Anti-aging e proteção celular","Vitamina E",400,"400UI","Antioxidante"
"Fórmula Performance Masculina","performance","cápsula","medicina esportiva","Melhora da performance física e energia","Fadiga e baixa performance","Creatina",3000,"3g","Energético muscular"
"Fórmula Performance Masculina","performance","cápsula","medicina esportiva","Melhora da performance física e energia","Fadiga e baixa performance","Arginina",1000,"1g","Vasodilatador"
"Fórmula Performance Masculina","performance","cápsula","medicina esportiva","Melhora da performance física e energia","Fadiga e baixa performance","Zinco",15,"15mg","Mineral essencial"
"Complexo para Libido Feminina","libido","cápsula","ginecologia","Melhora da libido e função sexual feminina","Disfunção sexual feminina","Maca Peruana",500,"500mg","Estimulante natural"
"Complexo para Libido Feminina","libido","cápsula","ginecologia","Melhora da libido e função sexual feminina","Disfunção sexual feminina","Tribulus Terrestris",250,"250mg","Hormonal natural"
"Fórmula do Sono Reparador","sono","cápsula","geral","Indução e melhora da qualidade do sono","Insônia e distúrbios do sono","Melatonina",3,"3mg","Regulador do sono"
"Fórmula do Sono Reparador","sono","cápsula","geral","Indução e melhora da qualidade do sono","Insônia e distúrbios do sono","L-Triptofano",500,"500mg","Precursor da serotonina"
"Fórmula do Sono Reparador","sono","cápsula","geral","Indução e melhora da qualidade do sono","Insônia e distúrbios do sono","Valeriana",300,"300mg","Sedativo natural"
"Ansiolítico Natural","ansiedade","cápsula","geral","Redução da ansiedade de forma natural","Transtornos de ansiedade","Passiflora",200,"200mg","Ansiolítico natural"
"Ansiolítico Natural","ansiedade","cápsula","geral","Redução da ansiedade de forma natural","Transtornos de ansiedade","Melissa",150,"150mg","Calmante"
"Ansiolítico Natural","ansiedade","cápsula","geral","Redução da ansiedade de forma natural","Transtornos de ansiedade","GABA",500,"500mg","Neurotransmissor"
"Multivitamínico Completo","Geral","cápsula","geral","Suplementação vitamínica completa","Deficiências nutricionais","Vitamina D3",2000,"2000UI","Vitamina essencial"
"Multivitamínico Completo","Geral","cápsula","geral","Suplementação vitamínica completa","Deficiências nutricionais","Vitamina B12",250,"250mcg","Vitamina do complexo B"
"Multivitamínico Completo","Geral","cápsula","geral","Suplementação vitamínica completa","Deficiências nutricionais","Magnésio",400,"400mg","Mineral essencial"
"Pré-Treino Energético","performance","pó","medicina esportiva","Energia e foco para treinos intensos","Performance atlética","Cafeína",200,"200mg","Estimulante"
"Pré-Treino Energético","performance","pó","medicina esportiva","Energia e foco para treinos intensos","Performance atlética","Beta-Alanina",2000,"2g","Resistência muscular"
"Pré-Treino Energético","performance","pó","medicina esportiva","Energia e foco para treinos intensos","Performance atlética","Citrulina",3000,"3g","Bomba muscular"
"Fórmula Capilar","antienvelhecimento","cápsula","dermatologia","Fortalecimento e crescimento capilar","Alopecia e queda capilar","Biotina",5000,"5000mcg","Vitamina capilar"
"Fórmula Capilar","antienvelhecimento","cápsula","dermatologia","Fortalecimento e crescimento capilar","Alopecia e queda capilar","Finasterida",1,"1mg","Inibidor DHT"
"Fórmula Capilar","antienvelhecimento","cápsula","dermatologia","Fortalecimento e crescimento capilar","Alopecia e queda capilar","Saw Palmetto",160,"160mg","Bloqueador natural DHT"
